Company,Ticker,Website,Industry,Founding_Year,Wikidata_ID,Extracted_Text
Adobe Inc.,ADBE,https://www.adobe.com/,artificial intelligence,1982.0,Q11463,"Changing the world through personalized digital experiences.
Adobe empowers everyone, everywhere to imagine, create, and bring any digital experience to life. From creators and students to small businesses, global enterprises, and nonprofit organizations — customers choose Adobe products to ideate, collaborate, be more productive, drive business growth, and build remarkable experiences.
How we’re making an impact.
Explore all the ways Adobe is innovating, breaking boundaries, and making a difference in our local communities and across the globe.
- Unleashing creativity
- Accelerating productivity
- Powering digital business
- Creating positive change
Our approach to generative AI.
Adobe is amplifying human ingenuity with AI, helping customers enhance their creativity, increase their productivity, and deliver more personalized experiences.
Designed to unlock your potential.
AI at Adobe is designed to enhance the creativity, intelligence, and ingenuity of our users, empowering people to work faster, focus on what’s important, and accomplish more.
Developed responsibly and transparently.
We train our Firefly models on data that allows us to offer customers a solution designed to be commercially safe. Plus, through the Content Authenticity Initiative, we’re driving global industry standards for transparency.
Integrated seamlessly into your workflows.
At Adobe, AI is built into our tools and seamlessly integrated into workflows customers are already using. Our embedded AI features fuel creativity, enable greater productivity, and empower businesses to deliver personalization at scale.
Making history since 1982.
Explore key moments in Adobe history — from the debut of PostScript, the introduction of Photoshop, the invention of PDF, and the creation of the digital marketing software category to our latest transformative innovations.
- 1982 - 1990
- 1991 – 2000
- 2001 – 2010
- 2011 – 2020
- 2021 - 2024"
Advanced Micro Devices,AMD,https://www.amd.com/,computer industry,1969.0,Q128896,KEIN_HAUPTINHALT_GEFUNDEN
Airbnb,ABNB,https://www.airbnb.com/,tourism industry,2008.0,Q63327,"Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco home, and has since grown to over 5 million hosts who have welcomed over 2 billion guest arrivals in almost every country across the globe. Every day, hosts offer unique stays, experiences, and services that make it possible for guests to connect with communities in a more authentic way.
Brian and Joe host Airbed & Breakfast’s first guests.
March 2008
Airbed & Breakfast officially launches during SXSW and receives just two bookings.
August 2008
The Airbed & Breakfast website launches in time for the Democratic National Convention and gets 80 bookings.
August 2008
Airbnb launches Payments, our bespoke payments platform which in 2019 processed about $70 billion in guest and host transactions in over 40 currencies.
March 2009
Airbnb officially changes our name from Airbed & Breakfast to Airbnb and expands beyond rooms to offer apartments, whole homes, and vacation rentals.
November 2010
Airbnb launches our app and Instant Book feature.
June 2011
Airbnb begins our international expansion with the opening of our German office.
May 2012
Airbnb introduces our $1M Host Guarantee.
November 2012
In response to Hurricane Sandy, Airbnb partners with New York City to house displaced residents and launches our Disaster Relief Tool.
June 2013
Airbnb opens our 888 Brannan Street HQ, a few blocks from our first listing on Rausch Street.
July 2014
Airbnb introduces our new logo, the Belo.
March 2015
Airbnb becomes the official alternative accommodations provider for the 2016 Rio Games.
April 2015
Airbnb launches in Cuba.
November 2016
Airbnb launches Experiences, a selection of curated activities that immerse travelers in local communities.
February 2017
Airbnb airs our #weaccept Super Bowl ad to protest the US travel ban.
March 2017
Airbnb launches our Chinese brand, Aibiying.
March 2019
Airbnb formally agrees to acquire HotelTonight.
November 2019
Airbnb announces a nine-year partnership with the International Olympic Committee.
March 2020
Airbnb launches Frontline Stays to safely house medical workers and other first responders during the COVID-19 pandemic.
April 2020
Airbnb launches Online Experiences in response to our hosts needing a way to make up for lost earnings during the pandemic.
June 2020
Airbnb launches our Enhanced Cleaning Protocol to help hosts and guests book with confidence during the pandemic.
June 2020
In partnership with Color of Change, Airbnb announces Project Lighthouse, a groundbreaking effort to help fight discrimination.
September 2020
Airbnb launches City Portal, a one-stop shop for local governments to help them understand and enforce responsible home sharing.
December 2020
Airbnb becomes a publicly traded company and rings the bell with hosts around the world who make Airbnb, Airbnb.
December 2020
Airbnb announces the launch of Airbnb.org, a non-profit that connects people to places to stay in times of crisis.
May 2021
Airbnb announces the Airbnb 202"
Alphabet Inc. (Class A),GOOGL,,,,,URL_UNGÜLTIG
Alphabet Inc. (Class C),GOOG,,,,,URL_UNGÜLTIG
Amazon,AMZN,https://www.amazon.com/,retail,1994.0,Q3884,"1 / 10
Innovation and AI
The collaborative infrastructure innovation delivers nearly half a million Trainium2 chips in record time, with Anthropic scaling to more than one million chips by the end of 2025.
Help Me Decide expands Amazon’s suite of AI shopping tools, pairing you with the right product with the tap of a button.
Learn how small-yet-impactful innovations, such as Amazon smile lights and improvements to the delivery app, are reshaping the experience of delivery drivers.
Research shows that highly interactive, game-based learning leads to better knowledge outcomes.
Prime shopping and benefits
With Amazon's Cyber Monday event kicking off November 29, we're here to answer all your questions.
Black Friday is just around the corner—and we’re here to answer all your questions.
Here are all the perks and benefits that make a Prime membership well worth the cost.
Thanks to micro fulfillment centers embedded within UAE neighborhoods, everyday essentials are now hitting customer doorsteps in just 15 minutes across the UAE, with thousands more products available within 2 hours on Amazon.ae.
Life at Amazon
For many employees, Amazon offers health care starting on day one of employment, along with mental health and well-being resources, cancer support, and 24/7 access to medical advice.
Turner Humphrey, who served 17 years in the Marine Corps, explains the leadership lessons he carried from his time in the military to the fulfillment center floor.
Investment supports students, employees and those looking to expand their skills as the workforce adapts to changing economy.
Launched in 2012, Career Choice is an education and training benefit that helps eligible hourly employees grow their skills for career success at Amazon or elsewhere."
American Electric Power,AEP,https://www.aep.com,electricity generation,1906.0,Q464092,"Dedicated to Service
At AEP, we understand and appreciate the vital role we play in delivering power to people across the country every day. Our vision and core principles are not just words; they serve as the guideposts for our company as we strive to meet our customers' expectations.
Our Mission
Put the customer first
Our Vision
Improving customers' lives with reliable, affordable power
Our Core Principles
Building A Brighter Future
We're one of the largest electric companies in the country, powering millions of homes and businesses daily. Our customers depend on us to provide reliable energy, and we're committed to going above and beyond their expectations to create an energy future we can all be proud of. We're passionate about our customers and communities, and to doing everything in our power to develop innovative and clean energy solutions for a changing world.
We're committed to supporting economic development and making smart infrastructure investments that power our communities and improve lives by attracting high-quality jobs, encouraging capital investment, and stimulating local economies.
Build with AEPWe're delivering long-term sustainable growth for our company and the communities we serve."
Amgen,AMGN,http://www.amgen.com/,pharmaceutical industry,1980.0,Q470517,"Amgen harnesses the best of biology and technology to fight the world’s toughest diseases, and make people’s lives easier, fuller and longer. We discover, develop, manufacture and deliver innovative medicines to help millions of patients. Amgen helped establish the biotechnology industry more than 40 years ago and remains on the cutting-edge of innovation, using technology and human genetic data to push beyond what’s known today.
Our investment in research and development has yielded a robust pipeline that builds on our existing portfolio of medicines to treat cancer, heart disease, osteoporosis, inflammatory diseases and rare diseases.
Amgen is one of the 30 companies that comprise the Dow Jones Industrial Average®, and we are also part of the Nasdaq-100 Index®, which includes the largest and most innovative non-financial companies listed on the Nasdaq Stock Market based on market capitalization.
Reaching Seriously Ill Patients Worldwide
We have a presence in approximately 100 countries and regions worldwide and our innovative medicines have reached millions of people in the fight against serious illnesses. We focus on four therapeutic areas, general medicine, rare disease, inflammation, and oncology, delivering innovative medicines to help people live longer, fuller, happier lives.
Investing in Science and Innovation
We pursue new ways to do science using tools like AI, generative biology and human data to discover what is not yet known and develop new precision medicines to fight the world’s toughest diseases.
Making Medicines Safely and Reliably
Many of Amgen's medicines are made through a highly complex process involving living cells. Our commitment is to deliver for ""every patient, every time"", and we have a long-running reputation for the reliability of our supply chain.
Operating Responsibly
Making a positive difference in the world is at the heart of what we do at Amgen — and it goes beyond making vital medicines. We also help build a better world by focusing on environmental, social and governance issues that matter most to our business and our stakeholders.
DOWNLOADS
Amgen Fact Sheet"
Analog Devices,ADI,https://www.analog.com/,,1965.0,Q484930,KEIN_HAUPTINHALT_GEFUNDEN
Apple Inc.,AAPL,https://apple.com,electronics,1976.0,Q312,"Apple Site Map
-
About Apple
-
Apple Values
-
News and Events
-
Where to Buy
-
Store Services
-
Account
-
For Education
-
For Business
Mac
-
Shop and Learn
-
Apple Accessories
-
Mac Accessories
-
Applications
-
More Mac
-
Support
iPad
-
Shop and Learn
-
Apple Accessories
-
iPad Accessories
-
Applications
-
More iPad
-
Support
iPhone
-
Shop and Learn
-
iPhone Accessories
-
Applications
-
More iPhone
- iOS 26
- Apple Intelligence
- Better with Mac
- Augmented Reality
- Siri
- iCloud
- Business Chat
- ResearchKit and CareKit
- Apple Pay
- Apple Card
- Apple CarPlay
- Apple Health
- Switch from Android
- iPhone in Business
- iOS for Developers
- Apple Arcade
- Apple Arcade for Developers
- Accessibility
- Batteries
- Find My
- (PRODUCT)RED
-
Support
Apple Watch
-
Shop and Learn
-
Apple Watch Accessories
-
More Apple Watch
-
Support
Apple Vision Pro
-
Shop and Learn
-
Apple Vision Pro Accessories
-
More Vision
-
Support
AirPods
-
Shop and Learn
-
AirPods Accessories
-
More AirPods
-
Support
TV & Home
-
Shop and Learn
-
TV & Home Accessories
-
More TV & Home
-
Support
Entertainment
-
Explore
-
Apple Wallet
-
More Services
-
Support
Accessories
-
Featured Accessories
-
Shop by Product
-
Shop by Category
Today at Apple
-
-
Today at Apple Calendar"
